pert_id	inchikey	block1
BRD-K41953699	KZGDUPVRHRQTLE-YXFZHOHLSA-N	KZGDUPVRHRQTLE
BRD-K41954709	HGEDECRDPWELMS-WRALFONMSA-N	HGEDECRDPWELMS
BRD-K41957723	VNTQRTFIXZLISU-WWMYMODYSA-N	VNTQRTFIXZLISU
BRD-K41958183	OOFBFCVUWHAFML-CLTTWXNHSA-N	OOFBFCVUWHAFML
BRD-K41970046	BHKYXVBLKIOFCQ-KYTVRQNUSA-N	BHKYXVBLKIOFCQ
BRD-K41974651	RIEPFGYATXCXRE-NOMHHCBYSA-N	RIEPFGYATXCXRE
BRD-K41996639	ICBPOKCISFMJKJ-IEGUWTFLSA-N	ICBPOKCISFMJKJ
BRD-K41996876	UOHFCPXBKJPCAD-UHFFFAOYSA-N	UOHFCPXBKJPCAD
BRD-K42001678	BBQFZCPIKRFBCR-SQLGYAFXSA-N	BBQFZCPIKRFBCR
BRD-K42006110	STZYNHZFNFWBAK-SODQHWRNSA-N	STZYNHZFNFWBAK
BRD-K42006476	IMPBBHMDJCWLCX-GGUMNFRJSA-N	IMPBBHMDJCWLCX
BRD-K42011191	AMMFZKQUXZGGMQ-XMERXJNXSA-N	AMMFZKQUXZGGMQ
BRD-K42021584	HRONYAMGJANALM-UHFFFAOYSA-N	HRONYAMGJANALM
BRD-K42035280	JZEVKSWSVNZKOH-ZXPXOXBPSA-N	JZEVKSWSVNZKOH
BRD-K42048463	APWUXYFXBMGRIO-RLCGNTSFSA-N	APWUXYFXBMGRIO
BRD-K42054363	ZLSVBQPGKZIPOU-STSQHVNTSA-N	ZLSVBQPGKZIPOU
BRD-K42056004	IAKBBZLEORGFOS-IUKKYPGJSA-N	IAKBBZLEORGFOS
BRD-K42057752	ATOUFFMQMQIITO-XHNVNVPESA-N	ATOUFFMQMQIITO
BRD-K42074118	RXCSFWYPJHKPEM-SFUHPXFESA-N	RXCSFWYPJHKPEM
BRD-K42083897	FEEKZGTVSGSFLP-DBXGMPFESA-N	FEEKZGTVSGSFLP
BRD-K42091312	FHADXZSABCGRQM-ILSPQUDCSA-N	FHADXZSABCGRQM
BRD-K42092012	ZLBUSWVWPMDVDO-RVKKMQEKSA-N	ZLBUSWVWPMDVDO
BRD-K42095107	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	ZQSIJRDFPHDXIC
BRD-K42098891	BWPIARFWQZKAIA-UHFFFAOYSA-N	BWPIARFWQZKAIA
BRD-K42100231	XSDFHOHDMKHWQT-OBDYRVMHSA-N	XSDFHOHDMKHWQT
BRD-K42107428	RKXWIVMHHDVODV-QZTZHPFYSA-N	RKXWIVMHHDVODV
BRD-K42125900	ZDZOTLJHXYCWBA-KGPXQYHHSA-N	ZDZOTLJHXYCWBA
BRD-K42132006	HJWSQNVGAXLPTC-HBMCJLEFSA-N	HJWSQNVGAXLPTC
BRD-K42134801	ZJSYKXMVEOUFIY-IECBHUPTSA-N	ZJSYKXMVEOUFIY
BRD-K42136113	PTKQWCOSPHHWRV-YOVQGTCESA-N	PTKQWCOSPHHWRV
BRD-K42140106	OGGYCTMNWHLDPZ-UHFFFAOYSA-N	OGGYCTMNWHLDPZ
BRD-K42140123	CEWCLCSAKAWIOS-YCAMKHIRSA-N	CEWCLCSAKAWIOS
BRD-K42142217	YFRMSEXFMHDWES-AFIMGQEJSA-N	YFRMSEXFMHDWES
BRD-K42142750	BCJMNZRQJAVDLD-CQRYIUNCSA-N	BCJMNZRQJAVDLD
BRD-K42156657	MYJKJHLNWUIKMG-NJYVYQBISA-N	MYJKJHLNWUIKMG
BRD-K42161310	BPHDJJLUUFUQJF-FYQCMVGJSA-N	BPHDJJLUUFUQJF
BRD-K42170810	GJVLYDQXVFQAHZ-RZNKLVQRSA-N	GJVLYDQXVFQAHZ
BRD-K42173890	VPEDYPFQYJVQKE-SZVBFZGTSA-N	VPEDYPFQYJVQKE
BRD-K42182933	CZXCLXHYAUMTPI-OKZBNKHCSA-N	CZXCLXHYAUMTPI
BRD-K42191735	CWHUFRVAEUJCEF-UHFFFAOYSA-N	CWHUFRVAEUJCEF
BRD-K42197878	PGWILGQCTOMTBZ-PWWNZBMUSA-N	PGWILGQCTOMTBZ
BRD-K42207609	YKBSBMDVZJDWJN-IKJKNFHUSA-N	YKBSBMDVZJDWJN
BRD-K42216874	SECMWWJMRQEFAV-DANFDKMISA-N	SECMWWJMRQEFAV
BRD-K42221274	NGNALWDRPKNJGR-UHFFFAOYSA-N	NGNALWDRPKNJGR
BRD-K42241928	QHDFXKNEEFSYRF-IECBHUPTSA-N	QHDFXKNEEFSYRF
BRD-K42245756	ZSUKBHXIWPHONU-JAXLGGSGSA-N	ZSUKBHXIWPHONU
BRD-K42251804	IDTLSUBVBUIIPR-JOCHJYFZSA-N	IDTLSUBVBUIIPR
BRD-K42256568	RKCCKXKETMZMSY-GMTAPVOTSA-N	RKCCKXKETMZMSY
BRD-K42260897	OLNTVTPDXPETLC-XPWALMASSA-N	OLNTVTPDXPETLC
BRD-K42269438	PKTOTAWSKYPRKJ-ZJOUEHCJSA-N	PKTOTAWSKYPRKJ
BRD-K42279779	KAJKYFHMOFZFFV-MPCDZSKCSA-N	KAJKYFHMOFZFFV
BRD-K42303783	OANCONKVZGQSHB-XJVVAVADSA-N	OANCONKVZGQSHB
BRD-K42307233	RZOQTESVPDTACV-XFAFFCHDSA-N	RZOQTESVPDTACV
BRD-K42308740	FMVZKGYXMKDRSK-UHFFFAOYSA-N	FMVZKGYXMKDRSK
BRD-K42348709	JURKNVYFZMSNLP-UHFFFAOYSA-N	JURKNVYFZMSNLP
BRD-K42352790	LGEQQWMQCRIYKG-DOFZRALJSA-N	LGEQQWMQCRIYKG
BRD-K42357106	GKYOEOUZTXHXGV-BUEREQSYSA-N	GKYOEOUZTXHXGV
BRD-K42359528	OLGOXCLKPVLFFW-XFAGBWLFSA-N	OLGOXCLKPVLFFW
BRD-K42361507	ZKSUBHWMVQQNNI-OAGGEKHMSA-N	ZKSUBHWMVQQNNI
BRD-K42361978	OJLJDVMGKDSXAU-YMVVMYQSSA-N	OJLJDVMGKDSXAU
BRD-K42363645	IJBFXWDDXVRANN-RXWNPYQGSA-N	IJBFXWDDXVRANN
BRD-K42365464	RTKWEIPARALZJI-SQMBMXPBSA-N	RTKWEIPARALZJI
BRD-K42379673	JJLSIBFTWJLCMJ-PBASOCQRSA-N	JJLSIBFTWJLCMJ
BRD-K42383812	WXYXTVXIMWIJFY-FTJYFCJYSA-N	WXYXTVXIMWIJFY
BRD-K42393177	CYXOTKWKLUXHGN-PNLZDCPESA-N	CYXOTKWKLUXHGN
BRD-K42397226	KDJDZTXOVUUOEN-PMAPCBKXSA-N	KDJDZTXOVUUOEN
BRD-K42400758	APSCYXRJDHETQP-XLYBNKOLSA-N	APSCYXRJDHETQP
BRD-K42411085	SMEGXRGRDNJMDW-AWEZNQCLSA-N	SMEGXRGRDNJMDW
BRD-K42417338	IFKLAQQSCNILHL-QHAWAJNXSA-N	IFKLAQQSCNILHL
BRD-K42419294	ZBAOXGUVNUTLHL-UHFFFAOYSA-N	ZBAOXGUVNUTLHL
