pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A11702965	chromomycin-a3	15	CO[C@@H]([C@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)[C@@H](O)[C@@H](C)O
BRD-A11706664	triciribine	17	Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23
BRD-A11731846	BRD-A11731846	12	CC(OC1OC(CO)C(O)C(O)C1O)/C=C/C2(O)C(C)CC(O)CC2(C)C
BRD-A11776908	enilconazole	4	Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1
BRD-A11813248	AM-92016	19	CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1
BRD-A11929187	BRD-A11929187	13	CC1CCc2c(C1)sc3nc(C)nc(N4CCN(CC4)C(=O)c5ccco5)c23
BRD-A11968133	BRD-A11968133	12	COc1cccc(Cn2ncc3c4sc(cc4n(C)c3c2=O)S(C)=O)c1
BRD-A11990600	lorazepam	53	OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O
BRD-A12016240	LY-278584	19	CN1C2CCC1CC(C2)NC(=O)c3nn(C)c4ccccc34
BRD-A12077521	cefepime	42	CO\N=C(\C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)c1csc(N)n1
BRD-A12083771	BRD-A12083771	74	CCCn1ncc(CN2CCCC(C2)C(=O)c3cccc(OC(C)C)c3)c1C
BRD-A12230535	nutlin-3	101	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
BRD-A12237696	L-citrulline	42	NC(CCCNC(N)=O)C(O)=O
BRD-A12409803	orteronel	58	CNC(=O)c1ccc2cc(ccc2c1)C1(O)CCn2cncc12
BRD-A12426960	BRD-A12426960	6	OC1(CF)CCOC(=O)C1
BRD-A12560204	nitrendipine	11	CCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)[N+](=O)[O-]
BRD-A12633378	BRD-A12633378	12	Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1
